0.0000,0.0034,0.2500,0.0033,0.1000,8.0000,0.1000,0.0000,0.0000,0.0000,6.0000,1360.0000,21.0000
0.0312,0.0076,0.5000,0.0073,0.0844,8.0002,0.0880,-0.5003,0.0076,-0.3855,5.0619,1360.0405,18.4698
0.0625,0.0135,0.7500,0.0128,0.0706,8.0004,0.0778,-0.4413,0.0057,-0.3240,4.2345,1360.0706,16.3434
0.0938,0.0235,0.9999,0.0222,0.0583,8.0005,0.0694,-0.3919,0.0042,-0.2696,3.4996,1360.0928,14.5743
0.1250,0.0473,1.2498,0.0451,0.0474,8.0006,0.0625,-0.3511,0.0031,-0.2210,2.8412,1360.1091,13.1239
0.1562,0.2274,1.4983,0.2242,0.0374,8.0007,0.0570,-0.3180,0.0022,-0.1773,2.2450,1360.1209,11.9604
0.1875,3.0474,1.3906,3.0429,0.0283,8.0008,0.0527,-0.2918,0.0016,-0.1374,1.6978,1360.1293,11.0584
0.2188,3.1022,1.1410,3.0961,0.0198,8.0008,0.0495,-0.2720,0.0011,-0.1006,1.1878,1360.1351,10.3982
0.2500,3.1178,0.8911,3.1096,0.0117,8.0008,0.0475,-0.2582,0.0007,-0.0659,0.7037,1360.1387,9.9655
0.2812,3.1259,0.6412,3.1153,0.0039,8.0008,0.0464,-0.2500,0.0003,-0.0327,0.2351,1360.1404,9.7506
0.3125,3.1314,0.3912,3.1178,-0.0038,8.0008,0.0464,-0.2472,0.0000,-0.0002,-0.2284,1360.1404,9.7490
0.3438,3.1359,0.1412,3.1185,-0.0116,8.0008,0.0474,-0.2499,-0.0003,0.0322,-0.6970,1360.1387,9.9605
0.3750,3.1401,-0.1088,3.1178,-0.0197,8.0008,0.0495,-0.2580,-0.0007,0.0654,-1.1807,1360.1352,10.3899
0.4062,-3.1385,-0.3588,3.1157,-0.0282,8.0008,0.0526,-0.2718,-0.0011,0.1000,-1.6903,1360.1294,11.0464
0.4375,-3.1327,-0.6088,3.1117,-0.0373,8.0007,0.0569,-0.2915,-0.0016,0.1369,-2.2368,1360.1211,11.9446
0.4688,-3.1242,-0.8587,3.1043,-0.0472,8.0006,0.0624,-0.3176,-0.0022,0.1767,-2.8322,1360.1093,13.1039
0.5000,-3.1080,-1.1086,3.0887,-0.0582,8.0005,0.0693,-0.3506,-0.0031,0.2203,-3.4895,1360.0931,14.5497
0.5312,-3.0568,-1.3581,3.0376,-0.0704,8.0004,0.0777,-0.3913,-0.0042,0.2688,-4.2232,1360.0710,16.3137
0.5625,-0.4834,-1.5278,0.4638,-0.0842,8.0002,0.0878,-0.4405,-0.0056,0.3231,-5.0491,1360.0411,18.4344
